"Player","Nation","Pos","Age","new_pound_value","Team","team_id","Fotmob_rating"
"Mohamed Salah","EGY","FW","32","350000","Liverpool","1","8.09"
"Virgil van Dijk","NED","DF","33","220000","Liverpool","1","7.35"
"Trent Alexander-Arnold","ENG","DF","25","180000","Liverpool","1","7.42"
"Andrew Robertson","SCO","DF","30","160000","Liverpool","1","6.83"
"Alisson","BRA","GK","31","150000","Liverpool","1","7.1"
"Federico Chiesa","ITA","FW","26","150000","Liverpool","1","6.38"
"Ryan Gravenberch","NED","MF","22","150000","Liverpool","1","7.44"
"Alexis Mac Allister","ARG","MF","25","150000","Liverpool","1","7.41"
"Darwin Núñez","URU","FW","25","140000","Liverpool","1","6.65"
"Diogo Jota","POR","FW","27","140000","Liverpool","1","6.79"
"Cody Gakpo","NED","FW","25","120000","Liverpool","1","7.1"
"Dominik Szoboszlai","HUN","MF","23","120000","Liverpool","1","7.18"
"Joe Gomez","ENG","DF","27","85000","Liverpool","1","6.88"
"Kostas Tsimikas","GRE","DF","28","75000","Liverpool","1","6.95"
"Ibrahima Konaté","FRA","DF","25","70000","Liverpool","1","7.19"
"Nathaniel Phillips","ENG","CB","27","65000","Liverpool","1","6.99"
"Luis Díaz","COL","FW","27","55000","Liverpool","1","7.42"
"Wataru Endo","JPN","MF,DF","31","50000","Liverpool","1","6.4"
"Harvey Elliott","ENG","MF,FW","21","40000","Liverpool","1","6.44"
"Stefan Bajcetic","ESP","DM","20","40000","Liverpool","1","6.79"
"Jarell Quansah","ENG","CB","21","30000","Liverpool","1","6.3"
"Curtis Jones","ENG","MF","23","15000","Liverpool","1","6.77"
"Ben Doak","SCO","RW","19","15000","Liverpool","1","7.11"
"Conor Bradley","NIR","DF","21","10000","Liverpool","1","6.62"
"Caoimhín Kelleher","IRL","GK","25","10000","Liverpool","1","6.89"
"Rhys Williams","ENG","CB","24","10000","Liverpool","1","6.52"
"Vitezslav Jaros","CZE","GK","23","7000","Liverpool","1","6.32"
"Kai Havertz","GER","FW,MF","25","280000","Arsenal","2","7.17"
"Declan Rice","ENG","MF","25","240000","Arsenal","2","7.31"
"Martin Ødegaard","NOR","MF","25","240000","Arsenal","2","7.21"
"Thomas Partey","GHA","MF,DF","31","200000","Arsenal","2","7.38"
"Bukayo Saka","ENG","FW,MF","22","195000","Arsenal","2","7.48"
"William Saliba","FRA","DF","23","190000","Arsenal","2","7.25"
"Gabriel Martinelli","BRA","FW,MF","23","180000","Arsenal","2","6.99"
"Oleksandr Zinchenko","UKR","DF,MF","27","150000","Arsenal","2","6.5"
"Ben White","ENG","DF","26","150000","Arsenal","2","6.88"
"Mikel Merino","ESP","MF,FW","28","130000","Arsenal","2","7.03"
"Riccardo Calafiori","ITA","DF","22","120000","Arsenal","2","6.98"
"Jorginho","ITA","MF","32","110000","Arsenal","2","6.56"
"Kieran Tierney","SCO","FW,DF","27","110000","Arsenal","2","6.54"
"Gabriel Magalhães","BRA","DF","26","100000","Arsenal","2","7.21"
"David Raya","ESP","GK","28","100000","Arsenal","2","7.15"
"Jurriën Timber","NED","DF","23","90000","Arsenal","2","7.13"
"Leandro Trossard","BEL","FW","29","90000","Arsenal","2","7.02"
"Jakub Kiwior","POL","DF","24","58000","Arsenal","2","6.79"
"Myles Lewis-Skelly","ENG","DF","18","5000","Arsenal","2","6.79"
"Fabio Vieira","POR","AM","24","45000","Arsenal","2","7.28"
"Kevin De Bruyne","BEL","MF","33","400000","Manchester City","4","7.22"
"Erling Haaland","NOR","FW","24","375000","Manchester City","4","7.51"
"Bernardo Silva","POR","MF,FW","29","300000","Manchester City","4","7.21"
"Jack Grealish","ENG","FW,MF","28","300000","Manchester City","4","6.83"
"John Stones","ENG","DF,MF","30","250000","Manchester City","4","6.64"
"İlkay Gündoğan","GER","MF","33","230000","Manchester City","4","7.15"
"Phil Foden","ENG","MF,FW","24","225000","Manchester City","4","6.99"
"Joško Gvardiol","CRO","DF","22","200000","Manchester City","4","7.35"
"Rúben Dias","POR","DF","27","180000","Manchester City","4","7.04"
"Manuel Akanji","SUI","DF","29","180000","Manchester City","4","6.78"
"Kyle Walker","ENG","DF","34","175000","Manchester City","4","6.79"
"Nathan Aké","NED","DF","29","160000","Manchester City","4","6.88"
"Mateo Kovačić","CRO","MF","30","150000","Manchester City","4","7.32"
"Matheus Nunes","POR","MF,DF","25","130000","Manchester City","4","7.18"
"Ederson","BRA","GK","30","100000","Manchester City","4","7.08"
"Stefan Ortega","GER","GK","31","90000","Manchester City","4","6.81"
"Jeremy Doku","BEL","FW","22","50000","Manchester City","4","7.37"
"Sávio","BRA","FW,MF","20","40000","Manchester City","4","7.43"
"Rico Lewis","ENG","RB","20","25000","Manchester City","4","6.91"
"Issa Kaboré","BFA","DF,MF","23","20000","Manchester City","4","6.71"
"James McAtee","ENG","CM","21","15000","Manchester City","4","6.61"
"Reece James","ENG","DF,MF","24","250000","Chelsea","5","6.98"
"Wesley Fofana","FRA","DF","23","200000","Chelsea","5","7.1"
"Ben Chilwell","ENG","DF,MF","27","200000","Chelsea","5","6.46"
"Christopher Nkunku","FRA","FW","26","195000","Chelsea","5","6.59"
"Enzo Fernández","ARG","MF","23","180000","Chelsea","5","7.33"
"Marc Cucurella","ESP","DF","26","175000","Chelsea","5","6.95"
"Raheem Sterling","ENG","LW","29","162500","Chelsea","5","6.34"
"Pedro Neto","POR","FW","24","160000","Chelsea","5","7"
"Moisés Caicedo","ECU","MF","22","150000","Chelsea","5","7.4"
"Cole Palmer","ENG","MF","22","130000","Chelsea","5","7.7"
"João Félix","POR","FW,MF","24","130000","Chelsea","5","6.65"
"Tosin Adarabioyo","ENG","DF","26","120000","Chelsea","5","7.05"
"Carney Chukwuemeka","ENG","MF","20","100000","Chelsea","5","6.75"
"Mykhailo Mudryk","UKR","FW","23","100000","Chelsea","5","6.21"
"Levi Colwill","ENG","DF","21","100000","Chelsea","5","6.98"
"Nicolas Jackson","SEN","FW","23","100000","Chelsea","5","7.13"
"Benoît Badiashile","FRA","DF","23","90000","Chelsea","5","6.85"
"Axel Disasi","FRA","DF","26","80000","Chelsea","5","6.81"
"Kiernan Dewsbury-Hall","ENG","MF,FW","25","80000","Chelsea","5","6.48"
"Robert Sánchez","ESP","GK","26","60000","Chelsea","5","7.08"
"Trevoh Chalobah","ENG","DF","25","59000","Chelsea","5","7.06"
"Marc Guiu","ESP","CF","19","50000","Chelsea","5","6.28"
"Noni Madueke","ENG","RW","22","50000","Chelsea","5","7.22"
"Filip Jørgensen","DEN","GK","22","50000","Chelsea","5","6.44"
"Malo Gusto","FRA","DF","21","45000","Chelsea","5","6.78"
"Roméo Lavia","BEL","DM","21","45000","Chelsea","5","7.02"
"Deivid Washington","BRA","CF","19","40000","Chelsea","5","6.18"
"Renato Veiga","POR","LB","21","25000","Chelsea","5","7.27"
"Josh Acheampong","ENG","RB","18","5000","Chelsea","5","6.64"
"Casemiro","BRA","MF","32","350000","Manchester Utd","14","7.04"
"Marcus Rashford","ENG","FW,MF","26","300000","Manchester Utd","14","7.01"
"Bruno Fernandes","POR","MF","29","300000","Manchester Utd","14","7.61"
"Mason Mount","ENG","MF,FW","25","250000","Manchester Utd","14","6.23"
"Antony","BRA","DF,MF","24","200000","Manchester Utd","14","7.68"
"Matthijs de Ligt","NED","DF","24","195000","Manchester Utd","14","6.8"
"Harry Maguire","ENG","DF","31","190000","Manchester Utd","14","6.79"
"Christian Eriksen","DEN","MF","32","150000","Manchester Utd","14","6.85"
"Jadon Sancho","ENG","FW,MF","24","150000","Chelsea","14","6.99"
"Luke Shaw","ENG","DF","29","150000","Manchester Utd","14","6.36"
"Noussair Mazraoui","MAR","DF","26","135000","Manchester Utd","14","7"
"André Onana","CMR","GK","28","120000","Manchester Utd","14","6.76"
"Lisandro Martínez","ARG","DF","26","120000","Manchester Utd","14","7.08"
"Victor Lindelöf","SWE","DF","30","120000","Manchester Utd","14","6.32"
"Manuel Ugarte","URG","DM","23","120000","Manchester Utd","14","6.86"
"Leny Yoro","FRA","CB","19","115000","Manchester Utd","14","6.46"
"Joshua Zirkzee","NED","FW,MF","23","105000","Manchester Utd","14","6.33"
"Rasmus Højlund","DEN","FW","21","85000","Manchester Utd","14","6.27"
"Diogo Dalot","POR","DF","25","85000","Manchester Utd","14","7.14"
"Tyrell Malacia","NED","DF","24","75000","Manchester Utd","14","6.69"
"Jonny Evans","NIR","DF","36","65000","Manchester Utd","14","6.9"
"Alejandro Garnacho","ARG","LW","20","50000","Manchester Utd","14","6.75"
"Altay Bayındır","TUR","GK","26","35000","Manchester Utd","14","5.88"
"Amad Diallo","CIV","FW,MF","22","28846","Manchester Utd","14","7.44"
"Kobbie Mainoo","ENG","CM","19","20000","Manchester Utd","14","6.63"
"Toby Collyer","ENG","DM","20","5000","Manchester Utd","14","6.78"
"Daniel Gore","ENG","CM","19","5000","Manchester Utd","14","6.58"
"Son Heung-min","KOR","FW","32","190000","Tottenham","16","7.34"
"James Maddison","ENG","MF","27","170000","Tottenham","16","7.29"
"Timo Werner","GER","FW,MF","28","165000","Tottenham","16","6.44"
"Cristian Romero","ARG","DF","26","165000","Tottenham","16","7.03"
"Dejan Kulusevski","SWE","MF,FW","24","110000","Tottenham","16","6.95"
"Richarlison","BRA","FW","27","90000","Tottenham","16","6.55"
"Dominic Solanke","ENG","FW","26","90000","Tottenham","16","6.66"
"Pedro Porro","ESP","DF","24","85000","Tottenham","16","7.28"
"Radu Drăgușin","ROU","DF","22","85000","Tottenham","16","6.33"
"Ben Davies","WAL","DF","31","80000","Tottenham","16","6.6"
"Destiny Udogie","ITA","DF","21","75000","Tottenham","16","6.95"
"Guglielmo Vicario","ITA","GK","27","75000","Tottenham","16","6.95"
"Archie Gray","ENG","CM","18","75000","Tottenham","16","6.16"
"Fraser Forster","ENG","GK","36","75000","Tottenham","16","6.8"
"Rodrigo Bentancur","URU","MF","27","75000","Tottenham","16","7.07"
"Brennan Johnson","WAL","FW","23","70000","Tottenham","16","7.06"
"Pape Matar Sarr","SEN","MF","21","70000","Tottenham","16","6.7"
"Yves Bissouma","MLI","MF","27","55000","Tottenham","16","6.64"
"Sergio Reguilón","ESP","DF","27","53000","Tottenham","16","6.82"
"Micky van de Ven","NED","DF","23","50000","Tottenham","16","6.84"
"Djed Spence","ENG","DF","23","50000","Tottenham","16","6.75"
"Wilson Odobert","FRA","LW","20","25000","Tottenham","16","6.43"
"Lucas Bergvall","SWE","AM","19","15000","Tottenham","16","6.7"
"Ashley Phillips","WAL","CB","19","15000","Tottenham","16","6.62"
"Robert Lewandowski","POL","FW","35","640962","FC Barcelone","17","7.52"
"Frenkie de Jong","NED","MF","27","365385","FC Barcelone","17","6.96"
"Jules Koundé","FRA","DF","25","260577","FC Barcelone","17","7.28"
"Raphinha","BRA","FW,MF","27","240385","FC Barcelone","17","7.92"
"Ferrán Torres","ESP","FW","24","192308","FC Barcelone","17","7.1"
"Pedri","ESP","MF","21","180385","FC Barcelone","17","7.78"
"Iñigo Martínez","ESP","DF","33","180385","FC Barcelone","17","7.45"
"Dani Olmo","ESP","MF","26","180385","FC Barcelone","17","7.27"
"Andreas Christensen","DEN","DF","28","173077","FC Barcelone","17","6.92"
"Ronald Araújo","URU","DF","25","134615","FC Barcelone","17","7.33"
"Gavi","ESP","MF","19","130769","FC Barcelone","17","6.85"
"Marc-André ter Stegen","GER","GK","32","121154","FC Barcelone","17","6.76"
"Eric García","ESP","DF,MF","23","115385","FC Barcelone","17","7.01"
"Pau Cubarsí","ESP","CB","18","76923","FC Barcelone","17","7.1"
"Fermín López","ESP","CM","21","76923","FC Barcelone","17","6.83"
"Iñaki Peña","ESP","GK","25","62500","FC Barcelone","17","7.03"
"Wojciech Szczęsny","POL","GK","34","57692","FC Barcelone","17","7.25"
"Clément Lenglet","FRA","CB","29","38462","FC Barcelone","17","7.08"
"Lamine Yamal","ESP","RW","17","32115","FC Barcelone","17","7.99"
"Alejandro Balde","ESP","DF","20","32115","FC Barcelone","17","7.16"
"Marc Casado","ESP","MF","21","10000","FC Barcelone","17","7.15"
"Kylian Mbappé","FRA","FW","25","600962","Real Madrid","18","7.86"
"Vinicius Júnior","BRA","FW","24","400577","Real Madrid","18","7.51"
"Jude Bellingham","ENG","MF","21","400577","Real Madrid","18","7.57"
"Federico Valverde","URU","MF,DF","26","320577","Real Madrid","18","7.6"
"Thibaut Courtois","BEL","GK","32","288462","Real Madrid","18","7.12"
"Antonio Rüdiger","GER","DF","31","280385","Real Madrid","18","6.94"
"Éder Militão","BRA","DF","26","280385","Real Madrid","18","7.21"
"Aurélien Tchouaméni","FRA","MF,DF","24","240385","Real Madrid","18","7.25"
"Eduardo Camavinga","FRA","MF","21","240385","Real Madrid","18","7.21"
"Rodrygo","BRA","MF,FW","23","240385","Real Madrid","18","7.36"
"Dani Carvajal","ESP","DF","32","200385","Real Madrid","18","7.29"
"Luka Modrić","CRO","MF","38","200385","Real Madrid","18","7.13"
"Ferland Mendy","FRA","DF","29","200385","Real Madrid","18","6.67"
"Dani Ceballos","ESP","MF","27","200385","Real Madrid","18","7.24"
"Lucas Vázquez","ESP","DF","33","180385","Real Madrid","18","7.19"
"Brahim Díaz","MAR","FW,MF","24","140192","Real Madrid","18","6.94"
"Raúl Asencio","ESP","DF","21","120192","Real Madrid","18","7.13"
"Fran Garcia","ESP","DF","24","100192","Real Madrid","18","7.15"
"Arda Güler","TUR","MF,FW","19","100000","Real Madrid","18","7.2"
"Andriy Lunin","UKR","GK","25","86538","Real Madrid","18","6.82"
"Endrick","BRA","CF","18","80000","Real Madrid","18","6.16"
"Jesús Vallejo","ESP","DF","27","34615","Real Madrid","18","6.11"
"Jan Oblak","SVN","GK","31","400577","Atlético Madrid","19","7.05"
"Antoine Griezmann","FRA","FW,MF","33","240385","Atlético Madrid","19","7.22"
"Conor Gallagher","ENG","MF","24","173077","Atlético Madrid","19","6.93"
"Marcos Llorente","ESP","DF,MF","29","160192","Atlético Madrid","19","7.28"
"Axel Witsel","BEL","DF","35","160192","Atlético Madrid","19","6.97"
"César Azpilicueta","ESP","DF","34","153846","Atlético Madrid","19","6.96"
"Julián Álvarez","ARG","FW,MF","24","136154","Atlético Madrid","19","7.13"
"Rodrigo De Paul","ARG","MF","30","128269","Atlético Madrid","19","6.99"
"Koke","ESP","MF","32","128269","Atlético Madrid","19","6.9"
"Robin Le Normand","ESP","DF","27","120192","Atlético Madrid","19","6.85"
"José María Giménez","URU","DF","29","120192","Atlético Madrid","19","6.79"
"Alexander Sørloth","NOR","FW","28","120000","Atlético Madrid","19","6.97"
"Ángel Correa","ARG","MF,FW","29","67308","Atlético Madrid","19","6.36"
"Thomas Lemar","FRA","FW","28","62500","Atlético Madrid","19","6.24"
"Javi Galán","ESP","DF","29","62500","Atlético Madrid","19","7.02"
"Samuel Lino","BRA","LM","25","24038","Atlético Madrid","19","6.9"
"Nahuel Molina","ARG","DF","26","23077","Atlético Madrid","19","6.9"
"Pablo Barrios","ESP","CM","21","22115","Atlético Madrid","19","7.26"
"Rodrigo Riquelme","ESP","MF,DF","24","11923","Atlético Madrid","19","6.61"
"Giuliano Simeone","ARG","CF","22","9615","Atlético Madrid","19","6.92"
"Ousmane Dembélé","FRA","FW","27","384615","Paris S-G","20","7.96"
"Marquinhos","BRA","CB","30","323077","Paris S-G","20","7.32"
"Khvicha Kvaratskhelia","GEO","FW","23","314615","Paris S-G","20","7.22"
"Achraf Hakimi","MAR","DF","25","279808","Paris S-G","20","7.94"
"Gianluigi Donnarumma","ITA","GK","25","244808","Paris S-G","20","6.81"
"Randal Kolo Muani","FRA","FW","25","174808","Juventus","20","7.05"
"Fabián Ruiz Peña","ESP","MF","28","174808","Paris S-G","20","7.37"
"João Neves","POR","DM","19","174808","Paris S-G","20","7.58"
"Warren Zaïre-Emery","FRA","CM","18","161538","Paris S-G","20","7.11"
"Lee Kang-in","KOR","FW,MF","23","139808","Paris S-G","20","7.34"
"Bradley Barcola","FRA","FW","21","126923","Paris S-G","20","7.55"
"Gonçalo Ramos","POR","FW","23","105769","Paris S-G","20","7.06"
